"passage_date","company"
"2025-02-13","AM"
"2025-02-14","AM"
"2025-02-15","AM"
"2025-02-16","AM"
"2025-02-17","AM"
"2025-02-18","AM"
"2025-02-19","AM"
"2025-02-20","AM"
"2025-02-21","AM"
"2025-02-22","AM"
"2025-02-23","AM"
"2025-02-24","AM"
"2025-02-25","AM"
"2025-02-26","AM"
"2025-02-27","AM"
"2025-02-13","AM"
"2025-02-14","AM"
"2025-02-15","AM"
"2025-02-16","AM"
"2025-02-17","AM"
"2025-02-18","AM"
"2025-02-19","AM"
"2025-02-20","AM"
"2025-02-21","AM"
"2025-02-22","AM"
"2025-02-23","AM"
"2025-02-24","AM"
"2025-02-25","AM"
"2025-02-26","AM"
"2025-02-27","AM"